OrderDate,OrderID,SKU,Store,Channel,Units,Sales,DiscountAmt,GrossMarginAmt,ReturnFlag,UnitPrice,DiscountRate
2024-11-20,ORD-00000035,SKU-00076,Store-014,Online,5,1205.73,566.13,258.4,0,354.37,0.3195
2024-01-24,ORD-00000036,SKU-00217,Store-002,Store,5,127.85,6.73,40.76,0,26.92,0.05
2024-11-10,ORD-00000037,SKU-00111,Store-020,Store,8,772.66,40.67,202.69,0,101.67,0.05
2024-10-29,ORD-00000038,SKU-00008,Store-017,Online,3,297.84,25.9,95.63,0,107.91,0.08
2024-04-11,ORD-00000039,SKU-00180,Store-017,Online,3,530.42,46.12,135.53,0,192.18,0.08
2024-08-19,ORD-00000040,SKU-00087,Store-016,Store,2,46.28,2.44,12.12,0,24.36,0.0501
2024-03-01,ORD-00000041,SKU-00234,Store-021,Online,4,274.72,23.89,89.38,0,74.65,0.08
2024-10-04,ORD-00000042,SKU-00214,Store-020,Store,5,3524.73,1018.14,602.54,0,908.57,0.2241
2024-09-13,ORD-00000043,SKU-00027,Store-020,Store,4,2153.79,113.36,364.98,0,566.79,0.05
2024-05-09,ORD-00000044,SKU-00226,Store-007,Online,6,309.32,150.91,73.32,0,76.7,0.3279
2024-01-25,ORD-00000045,SKU-00238,Store-021,Store,1,163.12,8.59,20.93,0,171.71,0.05
2024-12-21,ORD-00000046,SKU-00190,Store-006,Store,6,652.85,34.36,213.01,0,114.54,0.05
2024-06-12,ORD-00000047,SKU-00069,Store-001,Online,8,478.48,41.61,183.41,0,65.01,0.08
2024-11-22,ORD-00000048,SKU-00168,Store-030,Store,7,814.51,269.02,241.61,0,154.79,0.2483
2024-09-05,ORD-00000049,SKU-00218,Store-006,Online,4,141.89,86.6,42.79,0,57.12,0.379
2024-10-11,ORD-00000050,SKU-00204,Store-004,Store,6,374.38,191.32,127.59,0,94.28,0.3382
2024-10-05,ORD-00000051,SKU-00108,Store-010,Store,7,1043.36,54.91,307.55,0,156.9,0.05
2024-03-12,ORD-00000052,SKU-00177,Store-030,Store,4,388.25,20.43,153.49,0,102.17,0.05
2024-05-13,ORD-00000053,SKU-00097,Store-026,Store,4,471.78,24.83,102.63,0,124.15,0.05
2024-06-19,ORD-00000054,SKU-00064,Store-022,Online,8,2023.7,175.97,525.03,0,274.96,0.08
2024-07-01,ORD-00000055,SKU-00169,Store-006,Online,7,1583.65,137.71,240.62,0,245.91,0.08
2024-01-17,ORD-00000056,SKU-00117,Store-019,Store,8,326.43,130.58,96.23,0,57.13,0.2857
2024-07-19,ORD-00000057,SKU-00057,Store-025,Store,7,295.56,15.56,59.17,0,44.45,0.05
2024-02-26,ORD-00000058,SKU-00166,Store-011,Store,4,228.26,12.01,85.09,0,60.07,0.05
2024-09-29,ORD-00000059,SKU-00081,Store-008,Online,4,757.48,65.87,230.79,0,205.84,0.08
2024-09-06,ORD-00000060,SKU-00147,Store-027,Store,8,533.73,28.09,218.45,0,70.23,0.05
2024-12-03,ORD-00000061,SKU-00091,Store-004,Store,4,2339.58,787.77,468.07,0,781.84,0.2519
2024-09-29,ORD-00000062,SKU-00222,Store-028,Store,8,2089.7,109.98,314.68,0,274.96,0.05
2024-05-14,ORD-00000063,SKU-00213,Store-015,Store,5,323.11,17.01,110.26,1,68.02,0.05
2024-12-20,ORD-00000064,SKU-00119,Store-022,Store,6,498.32,74.94,112.0,0,95.54,0.1307
2024-05-30,ORD-00000065,SKU-00178,Store-012,Store,6,480.81,25.31,181.68,0,84.35,0.05
2024-04-29,ORD-00000066,SKU-00045,Store-022,Online,7,148.85,44.13,60.86,0,27.57,0.2287
2024-11-27,ORD-00000067,SKU-00250,Store-028,Store,2,128.01,6.74,47.25,0,67.38,0.05
2024-05-15,ORD-00000068,SKU-00054,Store-015,Store,1,686.49,36.13,131.32,0,722.62,0.05
2024-01-28,ORD-00000069,SKU-00217,Store-007,Store,3,82.08,4.32,26.61,0,28.8,0.05
2024-06-20,ORD-00000070,SKU-00212,Store-003,Store,3,372.36,19.6,159.87,0,130.65,0.05
2024-10-18,ORD-00000071,SKU-00045,Store-028,Store,4,117.05,6.16,46.19,0,30.8,0.05
2024-03-10,ORD-00000072,SKU-00003,Store-030,Online,1,46.56,23.05,14.55,0,69.61,0.3311
2024-06-18,ORD-00000073,SKU-00185,Store-020,Store,5,812.77,42.78,99.13,0,171.11,0.05
2024-02-17,ORD-00000074,SKU-00218,Store-001,Online,2,107.03,9.31,31.4,0,58.17,0.08
2024-09-08,ORD-00000075,SKU-00180,Store-027,Store,6,1231.06,64.79,318.15,0,215.98,0.05
2024-06-23,ORD-00000076,SKU-00014,Store-015,Online,7,298.25,25.93,109.51,0,46.31,0.08
2024-04-30,ORD-00000077,SKU-00162,Store-008,Store,8,901.08,143.09,269.65,0,130.52,0.137
2024-03-24,ORD-00000078,SKU-00098,Store-012,Store,2,76.42,4.02,32.53,0,40.22,0.05
2024-07-25,ORD-00000079,SKU-00229,Store-029,Online,1,201.14,17.49,62.07,0,218.63,0.08
2024-09-02,ORD-00000080,SKU-00201,Store-024,Store,4,1497.47,78.81,311.16,0,394.07,0.05
2024-12-10,ORD-00000081,SKU-00200,Store-018,Store,6,1209.15,63.64,208.94,0,212.13,0.05
2024-06-08,ORD-00000082,SKU-00102,Store-023,Online,4,399.87,105.15,84.09,0,126.26,0.2082
2024-02-28,ORD-00000083,SKU-00081,Store-026,Store,2,378.03,19.9,106.78,0,198.96,0.05
2024-10-31,ORD-00000084,SKU-00206,Store-019,Store,1,57.61,21.39,19.64,0,79.0,0.2708
2024-08-18,ORD-00000085,SKU-00029,Store-010,Online,2,203.91,17.73,58.55,0,110.82,0.08
2024-09-13,ORD-00000086,SKU-00026,Store-003,Store,7,1347.33,70.91,274.21,0,202.61,0.05
2024-02-05,ORD-00000087,SKU-00016,Store-004,Online,7,103.12,8.97,31.98,0,16.01,0.08
2024-04-24,ORD-00000088,SKU-00128,Store-008,Online,7,416.61,36.23,175.83,0,64.69,0.08
2024-10-08,ORD-00000089,SKU-00019,Store-024,Online,5,179.72,15.63,44.98,0,39.07,0.08
2024-10-31,ORD-00000090,SKU-00146,Store-003,Store,1,199.9,75.72,56.73,0,275.62,0.2747
2024-06-08,ORD-00000091,SKU-00042,Store-004,Store,6,361.99,154.06,163.62,0,86.01,0.2985
2024-10-21,ORD-00000092,SKU-00223,Store-030,Online,5,390.8,108.2,150.84,0,99.8,0.2168
2024-11-04,ORD-00000093,SKU-00109,Store-013,Online,6,3475.42,302.21,754.92,0,629.6,0.08
2024-05-21,ORD-00000094,SKU-00024,Store-004,Online,5,1501.05,130.53,488.54,0,326.32,0.08
2024-11-24,ORD-00000095,SKU-00174,Store-027,Online,2,170.58,14.83,65.81,0,92.71,0.08
2024-04-15,ORD-00000096,SKU-00085,Store-030,Store,6,364.99,19.21,123.86,0,64.03,0.05
2024-03-28,ORD-00000097,SKU-00066,Store-016,Store,8,891.26,46.91,304.93,0,117.27,0.05
2024-09-06,ORD-00000098,SKU-00165,Store-004,Store,3,2016.93,106.15,320.38,0,707.69,0.05
2024-08-21,ORD-00000099,SKU-00239,Store-019,Store,3,172.04,65.17,33.34,0,79.07,0.2747
2024-02-21,ORD-00000100,SKU-00245,Store-026,Store,2,242.22,12.75,59.15,0,127.48,0.05
2024-10-31,ORD-00000101,SKU-00109,Store-029,Store,6,3579.1,188.37,762.32,0,627.91,0.05
2024-03-14,ORD-00000102,SKU-00213,Store-018,Store,1,70.52,3.71,24.11,0,74.23,0.05
2024-10-21,ORD-00000103,SKU-00053,Store-029,Store,5,2150.01,113.16,369.24,0,452.63,0.05
2024-01-03,ORD-00000104,SKU-00212,Store-025,Store,6,693.45,36.5,276.01,0,121.66,0.05
2024-10-18,ORD-00000105,SKU-00236,Store-005,Store,3,188.61,9.93,70.27,0,66.18,0.05
2024-10-15,ORD-00000106,SKU-00130,Store-020,Store,4,492.98,25.95,106.91,0,129.73,0.05
2024-10-12,ORD-00000107,SKU-00131,Store-020,Store,2,68.79,3.62,22.69,1,36.21,0.05
2024-08-31,ORD-00000108,SKU-00142,Store-024,Store,5,395.79,20.83,112.44,0,83.32,0.05
2024-06-21,ORD-00000109,SKU-00019,Store-016,Store,2,76.39,4.02,19.03,0,40.2,0.05
2024-09-15,ORD-00000110,SKU-00215,Store-022,Store,5,125.19,6.59,42.44,0,26.36,0.05
2024-04-11,ORD-00000111,SKU-00185,Store-018,Online,5,681.71,263.09,83.77,0,188.96,0.2785
2024-10-12,ORD-00000112,SKU-00218,Store-008,Store,6,333.91,17.57,101.53,1,58.58,0.05
2024-07-22,ORD-00000113,SKU-00029,Store-015,Store,8,765.81,120.67,224.63,1,110.81,0.1361
2024-06-16,ORD-00000114,SKU-00201,Store-029,Online,6,2311.55,201.0,500.59,0,418.76,0.08
2024-07-04,ORD-00000115,SKU-00091,Store-026,Store,3,2350.75,123.72,481.89,0,824.82,0.05
2024-07-27,ORD-00000116,SKU-00205,Store-020,Store,2,1144.65,60.24,178.69,0,602.45,0.05
2024-01-14,ORD-00000117,SKU-00249,Store-010,Online,4,180.1,15.66,63.6,0,48.94,0.08
2024-02-21,ORD-00000118,SKU-00220,Store-007,Store,6,1399.37,73.65,383.88,0,245.5,0.05
2024-03-30,ORD-00000119,SKU-00229,Store-009,Online,4,757.84,65.9,224.95,0,205.94,0.08
2024-02-11,ORD-00000120,SKU-00029,Store-010,Store,3,281.2,14.8,81.89,0,98.67,0.05
2024-06-09,ORD-00000121,SKU-00083,Store-029,Online,6,127.04,11.05,34.32,0,23.02,0.08
2024-09-01,ORD-00000122,SKU-00074,Store-016,Online,1,50.63,17.63,14.99,0,68.26,0.2583
2024-08-27,ORD-00000123,SKU-00129,Store-012,Online,7,563.81,49.03,181.26,0,87.55,0.08
2024-06-21,ORD-00000124,SKU-00245,Store-027,Store,7,647.14,123.59,164.04,0,110.1,0.1604
2024-11-08,ORD-00000125,SKU-00172,Store-012,Store,1,37.01,1.95,12.73,0,38.96,0.0501
2024-07-25,ORD-00000126,SKU-00137,Store-024,Store,7,342.23,18.01,97.98,0,51.46,0.05
2024-01-29,ORD-00000127,SKU-00202,Store-020,Store,5,873.08,45.95,198.15,0,183.81,0.05
2024-10-06,ORD-00000128,SKU-00045,Store-010,Online,7,174.88,15.21,71.65,0,27.16,0.08
2024-07-29,ORD-00000129,SKU-00166,Store-029,Store,7,295.94,145.45,114.75,0,63.06,0.3295
2024-08-20,ORD-00000130,SKU-00126,Store-021,Store,4,693.43,36.5,219.54,0,182.48,0.05
2024-07-25,ORD-00000131,SKU-00051,Store-030,Store,7,428.07,149.7,147.11,0,82.54,0.2591
2024-07-21,ORD-00000132,SKU-00162,Store-001,Store,7,853.1,44.9,269.56,0,128.29,0.05
2024-02-03,ORD-00000133,SKU-00211,Store-009,Store,6,334.65,17.61,92.61,0,58.71,0.05
2024-07-23,ORD-00000134,SKU-00208,Store-010,Store,3,292.07,58.48,84.07,0,116.85,0.1668
2024-10-17,ORD-00000135,SKU-00211,Store-021,Store,2,126.97,6.68,32.42,0,66.82,0.05
2024-04-21,ORD-00000136,SKU-00204,Store-026,Store,3,253.66,13.35,88.27,0,89.0,0.05
2024-08-08,ORD-00000137,SKU-00118,Store-004,Online,3,72.35,14.4,22.92,0,28.92,0.166
2024-01-12,ORD-00000138,SKU-00013,Store-005,Store,3,247.77,13.04,90.09,0,86.94,0.05
2024-05-07,ORD-00000139,SKU-00242,Store-021,Store,7,328.86,17.31,82.05,0,49.45,0.05
2024-06-08,ORD-00000140,SKU-00114,Store-011,Store,6,2523.38,132.81,470.02,0,442.7,0.05
2024-12-25,ORD-00000141,SKU-00159,Store-021,Store,3,465.91,104.76,88.42,0,190.22,0.1836
2024-03-19,ORD-00000142,SKU-00006,Store-001,Store,2,88.64,41.13,27.32,0,64.89,0.3169
2024-04-11,ORD-00000143,SKU-00223,Store-016,Online,6,527.71,112.42,192.31,0,106.69,0.1756
2024-05-29,ORD-00000144,SKU-00223,Store-001,Store,1,109.58,5.77,41.48,0,115.35,0.05
2024-12-29,ORD-00000145,SKU-00233,Store-029,Store,5,308.98,16.26,85.76,0,65.05,0.05
2024-11-08,ORD-00000146,SKU-00044,Store-005,Store,3,458.91,24.15,86.41,0,161.02,0.05
2024-01-13,ORD-00000147,SKU-00211,Store-006,Store,5,329.94,17.37,89.78,0,69.46,0.05
2024-03-26,ORD-00000148,SKU-00157,Store-004,Online,4,266.09,23.14,95.96,0,72.31,0.08
2024-10-27,ORD-00000149,SKU-00037,Store-007,Store,1,109.95,5.79,30.39,0,115.74,0.05
2024-01-22,ORD-00000150,SKU-00143,Store-015,Store,3,125.73,31.54,27.39,0,52.42,0.2005
2024-11-09,ORD-00000151,SKU-00120,Store-019,Store,5,257.08,13.53,87.4,0,54.12,0.05
2024-04-12,ORD-00000152,SKU-00157,Store-028,Store,6,266.16,106.09,92.01,0,62.04,0.285
2024-12-01,ORD-00000153,SKU-00021,Store-027,Store,8,1512.11,79.58,287.86,0,198.96,0.05
2024-04-17,ORD-00000154,SKU-00141,Store-003,Store,1,193.72,10.2,57.35,0,203.92,0.05
2024-06-07,ORD-00000155,SKU-00170,Store-013,Online,6,200.03,17.39,52.71,0,36.24,0.08
2024-08-30,ORD-00000156,SKU-00179,Store-027,Online,6,1063.95,429.72,208.53,0,248.95,0.2877
2024-02-16,ORD-00000157,SKU-00193,Store-005,Store,1,20.46,9.28,4.14,0,29.74,0.312
2024-07-22,ORD-00000158,SKU-00157,Store-021,Online,3,205.88,17.9,75.54,0,74.59,0.08
2024-07-03,ORD-00000159,SKU-00176,Store-013,Store,2,803.09,161.76,168.48,0,482.42,0.1677
2024-10-13,ORD-00000160,SKU-00023,Store-006,Store,2,290.77,15.3,100.38,0,153.04,0.05
2024-12-30,ORD-00000161,SKU-00200,Store-002,Store,3,598.06,31.48,119.6,0,209.85,0.05
2024-08-31,ORD-00000162,SKU-00092,Store-009,Store,2,149.7,7.88,63.45,0,78.79,0.05
2024-05-29,ORD-00000163,SKU-00137,Store-001,Store,5,296.38,15.6,86.55,0,62.4,0.05
2024-05-28,ORD-00000164,SKU-00137,Store-006,Online,2,96.37,18.3,27.12,0,57.34,0.1596
2024-06-01,ORD-00000165,SKU-00245,Store-017,Store,2,202.74,10.67,54.05,0,106.7,0.05
2024-10-24,ORD-00000166,SKU-00082,Store-024,Store,7,1078.1,56.74,233.3,0,162.12,0.05
2024-04-27,ORD-00000167,SKU-00097,Store-016,Store,5,458.74,202.87,99.22,0,132.32,0.3066
2024-03-02,ORD-00000168,SKU-00191,Store-022,Store,3,341.65,17.98,153.92,0,119.88,0.05
2024-05-02,ORD-00000169,SKU-00159,Store-003,Store,7,1317.75,69.36,230.11,0,198.16,0.05
2024-01-09,ORD-00000170,SKU-00080,Store-010,Online,7,118.22,29.88,54.41,0,21.16,0.2018
2024-02-08,ORD-00000171,SKU-00087,Store-020,Store,1,24.43,1.29,6.29,0,25.72,0.0502
2024-02-02,ORD-00000172,SKU-00208,Store-002,Store,3,358.94,18.89,107.11,0,125.94,0.05
2024-10-09,ORD-00000173,SKU-00209,Store-018,Store,5,628.0,33.05,216.89,0,132.21,0.05
2024-09-21,ORD-00000174,SKU-00037,Store-006,Store,1,109.87,5.78,27.75,0,115.65,0.05
2024-09-12,ORD-00000175,SKU-00100,Store-013,Store,6,148.05,7.79,50.99,0,25.97,0.05
2024-06-18,ORD-00000176,SKU-00193,Store-019,Store,1,30.49,1.6,5.91,0,32.09,0.0499
2024-09-19,ORD-00000177,SKU-00030,Store-030,Online,8,2203.74,191.63,300.73,0,299.42,0.08
2024-02-29,ORD-00000178,SKU-00046,Store-003,Online,3,122.91,72.6,41.28,0,65.17,0.3713
2024-11-25,ORD-00000179,SKU-00040,Store-017,Store,5,833.88,43.89,197.5,0,175.55,0.05
2024-07-02,ORD-00000180,SKU-00133,Store-017,Store,7,276.95,14.58,73.35,0,41.65,0.05
2024-12-09,ORD-00000181,SKU-00113,Store-002,Store,5,403.26,21.22,97.83,0,84.9,0.05
2024-02-25,ORD-00000182,SKU-00081,Store-019,Online,5,970.17,84.36,283.38,0,210.91,0.08
2024-07-01,ORD-00000183,SKU-00034,Store-003,Store,8,783.67,41.25,226.7,0,103.12,0.05
2024-09-11,ORD-00000184,SKU-00160,Store-021,Store,6,269.71,14.2,105.95,0,47.32,0.05
2024-06-30,ORD-00000185,SKU-00202,Store-007,Online,4,842.39,73.25,184.44,0,228.91,0.08
2024-06-12,ORD-00000186,SKU-00054,Store-004,Store,4,2616.78,137.73,529.0,0,688.63,0.05
2024-03-01,ORD-00000187,SKU-00167,Store-003,Online,6,331.11,28.79,82.16,0,59.98,0.08
2024-05-19,ORD-00000188,SKU-00199,Store-014,Store,3,234.87,12.36,38.1,0,82.41,0.05
2024-03-28,ORD-00000189,SKU-00140,Store-008,Store,1,698.02,36.74,108.55,0,734.76,0.05
2024-04-20,ORD-00000190,SKU-00144,Store-014,Store,6,1951.88,1024.02,265.56,0,495.98,0.3441
2024-09-07,ORD-00000191,SKU-00042,Store-027,Online,6,454.69,39.54,195.08,0,82.37,0.08
2024-08-18,ORD-00000192,SKU-00240,Store-026,Store,5,597.65,31.46,161.94,0,125.82,0.05
2024-08-10,ORD-00000193,SKU-00240,Store-023,Store,3,370.37,19.49,95.79,0,129.95,0.05
2024-05-12,ORD-00000194,SKU-00178,Store-015,Store,1,76.11,4.01,27.05,0,80.12,0.05
2024-12-17,ORD-00000195,SKU-00226,Store-004,Store,2,140.01,7.37,33.13,0,73.69,0.05
2024-02-02,ORD-00000196,SKU-00152,Store-013,Online,5,300.47,26.13,101.23,0,65.32,0.08
2024-05-05,ORD-00000197,SKU-00166,Store-001,Store,1,58.05,3.06,22.0,0,61.11,0.0501
2024-02-13,ORD-00000198,SKU-00208,Store-004,Store,6,691.88,36.41,206.05,0,121.38,0.05
2024-05-04,ORD-00000199,SKU-00010,Store-010,Online,2,42.56,22.14,10.2,0,32.35,0.3422
2024-12-18,ORD-00000200,SKU-00055,Store-021,Store,3,1338.15,70.43,247.77,0,469.53,0.05
2024-05-14,ORD-00000201,SKU-00051,Store-024,Store,8,571.74,30.09,188.34,0,75.23,0.05
2024-11-28,ORD-00000202,SKU-00159,Store-019,Store,3,516.71,27.2,98.32,0,181.3,0.05
2024-06-30,ORD-00000203,SKU-00061,Store-008,Online,4,604.87,330.06,140.72,0,233.73,0.353
2024-09-13,ORD-00000204,SKU-00098,Store-022,Store,7,275.42,14.5,109.63,0,41.42,0.05
2024-06-16,ORD-00000205,SKU-00124,Store-030,Store,1,395.36,20.81,73.38,0,416.17,0.05
2024-04-07,ORD-00000206,SKU-00186,Store-020,Online,3,1546.33,741.27,271.13,0,762.53,0.324
2024-10-06,ORD-00000207,SKU-00130,Store-023,Online,4,460.86,40.07,92.26,0,125.23,0.08
2024-12-20,ORD-00000208,SKU-00007,Store-027,Store,3,114.19,6.01,31.15,0,40.07,0.05
2024-04-06,ORD-00000209,SKU-00172,Store-022,Store,8,225.18,106.93,77.53,0,41.51,0.322
2024-10-12,ORD-00000210,SKU-00107,Store-027,Online,7,741.37,64.47,265.12,0,115.12,0.08
2024-04-05,ORD-00000211,SKU-00029,Store-009,Online,1,98.39,8.56,28.65,0,106.95,0.08
2024-09-19,ORD-00000212,SKU-00163,Store-010,Store,8,6011.14,316.38,1080.38,0,790.94,0.05
2024-10-15,ORD-00000213,SKU-00068,Store-006,Store,2,585.49,202.13,128.19,0,393.81,0.2566
2024-06-13,ORD-00000214,SKU-00116,Store-006,Store,2,232.05,12.21,48.3,0,122.13,0.05
2024-09-26,ORD-00000215,SKU-00242,Store-017,Online,6,253.17,22.01,63.04,0,45.86,0.08
2024-04-09,ORD-00000216,SKU-00060,Store-028,Store,4,157.95,25.12,70.02,0,45.77,0.1372
2024-01-30,ORD-00000217,SKU-00222,Store-007,Online,1,256.99,22.35,40.04,0,279.34,0.08
2024-02-05,ORD-00000218,SKU-00117,Store-022,Store,1,35.9,15.34,10.65,0,51.24,0.2994
2024-06-12,ORD-00000219,SKU-00234,Store-003,Online,6,363.82,31.64,111.08,1,65.91,0.08
2024-11-26,ORD-00000220,SKU-00213,Store-030,Store,4,302.21,15.91,104.59,0,79.53,0.05
2024-02-16,ORD-00000221,SKU-00209,Store-016,Store,4,385.66,151.63,132.76,0,134.32,0.2822
2024-06-15,ORD-00000222,SKU-00052,Store-015,Store,3,256.53,63.74,66.94,0,106.76,0.199
2024-09-14,ORD-00000223,SKU-00198,Store-011,Online,2,111.79,9.72,43.73,0,60.76,0.08
2024-03-15,ORD-00000224,SKU-00092,Store-029,Store,7,442.91,159.84,187.39,0,86.11,0.2652
2024-09-21,ORD-00000225,SKU-00228,Store-013,Store,4,342.06,18.0,98.72,0,90.02,0.05
2024-04-21,ORD-00000226,SKU-00248,Store-004,Online,8,3564.0,309.91,627.19,0,484.24,0.08
2024-10-22,ORD-00000227,SKU-00153,Store-017,Store,5,190.57,10.03,42.21,0,40.12,0.05
2024-07-30,ORD-00000228,SKU-00229,Store-018,Online,1,182.06,15.83,60.53,1,197.89,0.08
2024-07-19,ORD-00000229,SKU-00134,Store-023,Store,4,369.85,19.47,114.14,0,97.33,0.05
2024-03-05,ORD-00000230,SKU-00009,Store-015,Store,7,447.1,125.08,94.98,0,81.74,0.2186
2024-06-18,ORD-00000231,SKU-00219,Store-009,Store,1,383.65,20.19,85.77,0,403.84,0.05
2024-11-09,ORD-00000232,SKU-00133,Store-001,Online,2,54.27,32.11,14.95,0,43.19,0.3717
2024-01-08,ORD-00000233,SKU-00012,Store-030,Online,5,183.71,15.97,50.83,0,39.94,0.08
2024-10-04,ORD-00000234,SKU-00017,Store-006,Store,3,210.95,11.1,46.46,0,74.02,0.05
2024-06-29,ORD-00000235,SKU-00181,Store-011,Online,5,776.39,67.51,242.01,0,168.78,0.08
2024-09-20,ORD-00000236,SKU-00231,Store-005,Online,8,7158.68,622.49,1348.27,0,972.65,0.08
2024-08-30,ORD-00000237,SKU-00175,Store-008,Online,6,660.87,57.47,265.08,1,119.72,0.08
2024-06-07,ORD-00000238,SKU-00111,Store-002,Store,3,233.57,12.29,58.02,0,81.95,0.05
2024-04-22,ORD-00000239,SKU-00077,Store-011,Store,7,776.63,186.61,157.57,0,137.61,0.1937
2024-08-17,ORD-00000240,SKU-00105,Store-029,Store,1,73.61,25.57,29.96,0,99.18,0.2578
2024-02-21,ORD-00000241,SKU-00081,Store-007,Store,7,991.24,290.17,288.47,0,183.06,0.2264
2024-08-01,ORD-00000242,SKU-00069,Store-029,Store,1,58.64,3.09,22.32,0,61.73,0.0501
2024-02-04,ORD-00000243,SKU-00033,Store-020,Store,2,90.54,4.77,26.87,0,47.66,0.05
2024-08-25,ORD-00000244,SKU-00143,Store-027,Store,3,147.27,7.75,31.43,0,51.67,0.05
2024-08-18,ORD-00000245,SKU-00055,Store-019,Store,2,830.88,145.67,143.31,0,488.28,0.1492
2024-01-31,ORD-00000246,SKU-00037,Store-030,Online,8,787.58,68.49,213.01,0,107.01,0.08
2024-10-04,ORD-00000247,SKU-00069,Store-017,Store,6,348.68,18.35,137.69,0,61.17,0.05
2024-06-01,ORD-00000248,SKU-00200,Store-025,Store,1,184.32,9.7,32.98,0,194.02,0.05
2024-10-15,ORD-00000249,SKU-00144,Store-002,Store,6,2210.14,506.24,306.32,0,452.73,0.1864
2024-01-16,ORD-00000250,SKU-00123,Store-028,Store,2,323.45,17.02,89.38,0,170.24,0.05
2024-03-06,ORD-00000251,SKU-00148,Store-001,Store,6,420.53,22.13,112.35,0,73.78,0.05
2024-06-29,ORD-00000252,SKU-00142,Store-006,Store,8,673.42,35.44,187.4,0,88.61,0.05
2024-03-09,ORD-00000253,SKU-00125,Store-023,Store,1,119.98,6.31,32.44,0,126.29,0.05
2024-04-30,ORD-00000254,SKU-00211,Store-008,Store,4,263.89,13.89,74.21,0,69.44,0.05
