Order ID,Order Date,Segment,Region,Category,Sub Category,Ship Mode,Customer Name,Sales,Quantity,Discount,Profit
CA-100130,2024-07-16,Consumer,South,Furniture,Chairs,Standard Class,Customer 285,369.25,4,0.2,33.23
CA-100131,2024-02-18,Home Office,West,Office Supplies,Art,Standard Class,Customer 177,569.62,2,0.1,68.35
CA-100132,2024-02-18,Home Office,West,Furniture,Furnishings,Standard Class,Customer 478,1724.05,8,0.2,155.16
CA-100133,2024-11-13,Corporate,West,Office Supplies,Binders,Standard Class,Customer 477,865.04,3,0.3,51.9
CA-100134,2024-09-13,Corporate,Central,Furniture,Bookcases,Second Class,Customer 194,1676.4,2,0.2,150.88
CA-100135,2024-11-14,Consumer,South,Furniture,Chairs,First Class,Customer 359,892.71,6,0.1,107.13
CA-100136,2024-12-31,Corporate,South,Office Supplies,Binders,First Class,Customer 55,759.15,3,0.1,91.1
CA-100137,2024-11-08,Home Office,Central,Furniture,Furnishings,First Class,Customer 443,1736.65,1,0.3,104.2
CA-100138,2024-08-26,Consumer,Central,Office Supplies,Storage,Standard Class,Customer 92,59.03,9,0.1,7.08
CA-100139,2024-03-18,Corporate,Central,Office Supplies,Art,Same Day,Customer 165,1447.21,8,0.2,130.25
CA-100140,2024-01-07,Corporate,Central,Furniture,Chairs,First Class,Customer 85,425.87,7,0.2,38.33
CA-100141,2024-10-11,Corporate,East,Office Supplies,Binders,First Class,Customer 197,263.1,4,0.2,23.68
CA-100142,2024-04-28,Consumer,West,Office Supplies,Paper,Same Day,Customer 222,533.66,3,0.1,64.04
CA-100143,2024-12-07,Consumer,East,Technology,Accessories,Same Day,Customer 59,883.53,3,0.3,53.01
CA-100144,2024-04-24,Consumer,East,Furniture,Chairs,Same Day,Customer 450,952.71,1,0.3,57.16
CA-100145,2024-10-04,Home Office,East,Technology,Copiers,Second Class,Customer 442,817.05,6,0.0,122.56
CA-100146,2024-03-15,Corporate,East,Technology,Copiers,Standard Class,Customer 42,359.92,5,0.2,32.39
CA-100147,2024-06-01,Corporate,East,Technology,Copiers,First Class,Customer 117,562.63,5,0.0,84.39
CA-100148,2024-10-13,Corporate,Central,Furniture,Furnishings,Second Class,Customer 268,297.24,9,0.2,26.75
CA-100149,2024-07-08,Corporate,East,Technology,Copiers,Second Class,Customer 310,1336.77,1,0.2,120.31
CA-100150,2024-10-08,Consumer,West,Office Supplies,Storage,Same Day,Customer 11,385.05,4,0.0,57.76
CA-100151,2024-11-05,Corporate,Central,Technology,Machines,Same Day,Customer 246,1448.64,3,0.3,86.92
CA-100152,2024-08-26,Home Office,Central,Furniture,Furnishings,First Class,Customer 337,1470.49,4,0.0,220.57
CA-100153,2024-07-19,Corporate,East,Furniture,Chairs,Standard Class,Customer 201,1911.37,2,0.2,172.02
CA-100154,2024-02-11,Consumer,Central,Technology,Machines,First Class,Customer 498,837.33,8,0.0,125.6
CA-100155,2024-12-19,Home Office,West,Technology,Copiers,First Class,Customer 305,24.63,6,0.2,2.22
CA-100156,2024-10-29,Corporate,South,Technology,Copiers,First Class,Customer 264,1584.23,7,0.0,237.63
CA-100157,2024-07-16,Consumer,East,Office Supplies,Binders,Same Day,Customer 143,1616.99,5,0.2,145.53
CA-100158,2024-10-08,Consumer,East,Office Supplies,Paper,First Class,Customer 270,1975.58,7,0.0,296.34
CA-100159,2024-06-24,Corporate,Central,Office Supplies,Storage,Standard Class,Customer 82,1400.89,3,0.0,210.13
CA-100160,2024-04-12,Consumer,East,Office Supplies,Storage,Same Day,Customer 483,1726.84,3,0.2,155.42
CA-100161,2024-07-01,Home Office,South,Technology,Machines,First Class,Customer 376,172.37,8,0.0,25.86
CA-100162,2024-07-28,Consumer,South,Technology,Phones,Second Class,Customer 108,1086.03,9,0.1,130.32
CA-100163,2024-09-07,Home Office,West,Furniture,Chairs,Second Class,Customer 416,846.66,2,0.2,76.2
CA-100164,2024-01-29,Corporate,West,Office Supplies,Binders,Second Class,Customer 245,158.66,4,0.1,19.04
CA-100165,2024-09-22,Corporate,West,Technology,Machines,First Class,Customer 340,1169.9,9,0.3,70.19
CA-100166,2024-05-21,Corporate,East,Technology,Copiers,Second Class,Customer 446,1469.9,3,0.0,220.48
CA-100167,2024-03-13,Home Office,West,Technology,Phones,Same Day,Customer 452,103.34,5,0.0,15.5
CA-100168,2024-07-16,Home Office,South,Office Supplies,Storage,Second Class,Customer 344,1900.92,5,0.0,285.14
CA-100169,2024-07-17,Home Office,South,Office Supplies,Art,Standard Class,Customer 63,1809.37,9,0.1,217.12
CA-100170,2024-11-08,Corporate,West,Furniture,Chairs,Second Class,Customer 259,1223.32,2,0.0,183.5
CA-100171,2024-06-25,Consumer,Central,Furniture,Furnishings,Second Class,Customer 241,1605.52,7,0.1,192.66
CA-100172,2024-12-03,Corporate,West,Technology,Copiers,First Class,Customer 160,535.26,2,0.2,48.17
CA-100173,2024-11-24,Corporate,West,Office Supplies,Paper,First Class,Customer 105,464.39,9,0.3,27.86
CA-100174,2024-07-13,Consumer,East,Office Supplies,Art,Second Class,Customer 9,560.46,9,0.0,84.07
CA-100175,2024-05-03,Home Office,East,Office Supplies,Art,First Class,Customer 389,1317.38,2,0.0,197.61
CA-100176,2024-03-21,Corporate,South,Furniture,Chairs,Same Day,Customer 318,1074.55,5,0.0,161.18
CA-100177,2024-02-09,Corporate,South,Technology,Machines,Standard Class,Customer 237,1814.9,8,0.2,163.34
CA-100178,2024-04-01,Consumer,Central,Technology,Machines,Same Day,Customer 169,1759.69,8,0.2,158.37
CA-100179,2024-06-18,Home Office,Central,Technology,Accessories,Same Day,Customer 7,1677.29,5,0.0,251.59
CA-100180,2024-01-31,Home Office,East,Technology,Accessories,Same Day,Customer 363,1764.12,9,0.1,211.69
CA-100181,2024-12-21,Corporate,East,Technology,Phones,Standard Class,Customer 12,1492.15,2,0.2,134.29
CA-100182,2024-08-20,Consumer,South,Office Supplies,Storage,Second Class,Customer 188,402.4,1,0.0,60.36
CA-100183,2024-03-14,Consumer,South,Technology,Accessories,First Class,Customer 412,1564.09,3,0.1,187.69
CA-100184,2024-07-14,Corporate,South,Office Supplies,Storage,Same Day,Customer 17,1865.42,6,0.0,279.81
CA-100185,2024-01-22,Corporate,South,Furniture,Bookcases,Second Class,Customer 306,1422.97,1,0.1,170.76
CA-100186,2024-09-07,Home Office,South,Furniture,Chairs,Same Day,Customer 7,1947.51,4,0.0,292.13
CA-100187,2024-02-27,Home Office,East,Technology,Accessories,Second Class,Customer 226,63.8,3,0.1,7.66
CA-100188,2024-02-08,Home Office,Central,Technology,Phones,Standard Class,Customer 75,1889.72,9,0.2,170.07
CA-100189,2024-01-27,Home Office,West,Furniture,Tables,Same Day,Customer 440,1550.19,6,0.3,93.01
CA-100190,2024-03-24,Corporate,Central,Technology,Phones,Standard Class,Customer 387,1888.36,5,0.3,113.3
CA-100191,2024-01-15,Corporate,West,Office Supplies,Storage,Same Day,Customer 497,830.48,6,0.3,49.83
CA-100192,2024-02-29,Corporate,West,Technology,Phones,Standard Class,Customer 309,1435.55,8,0.1,172.27
CA-100193,2024-07-17,Home Office,West,Office Supplies,Art,Same Day,Customer 181,918.31,4,0.1,110.2
CA-100194,2024-08-09,Corporate,Central,Furniture,Chairs,Second Class,Customer 236,1240.97,9,0.1,148.92
CA-100195,2024-04-26,Corporate,South,Technology,Copiers,First Class,Customer 64,417.04,6,0.0,62.56
CA-100196,2024-11-15,Corporate,East,Technology,Machines,First Class,Customer 166,316.17,2,0.0,47.43
CA-100197,2024-09-23,Corporate,Central,Office Supplies,Art,Standard Class,Customer 401,1396.06,6,0.0,209.41
CA-100198,2024-03-26,Consumer,East,Technology,Copiers,Same Day,Customer 242,1150.39,6,0.2,103.54
CA-100199,2024-03-17,Corporate,East,Technology,Machines,Second Class,Customer 166,1045.07,9,0.0,156.76
CA-100200,2024-05-22,Corporate,East,Office Supplies,Storage,Same Day,Customer 305,417.7,2,0.1,50.12
CA-100201,2024-01-09,Corporate,West,Office Supplies,Storage,First Class,Customer 416,265.96,6,0.2,23.94
CA-100202,2024-06-26,Corporate,South,Technology,Accessories,First Class,Customer 251,1423.94,8,0.3,85.44
CA-100203,2024-11-09,Corporate,East,Office Supplies,Storage,First Class,Customer 127,178.63,4,0.3,10.72
CA-100204,2024-01-12,Home Office,South,Technology,Phones,Standard Class,Customer 301,344.72,2,0.1,41.37
CA-100205,2024-06-21,Consumer,Central,Office Supplies,Binders,First Class,Customer 288,454.04,4,0.2,40.86
CA-100206,2024-07-29,Corporate,West,Office Supplies,Art,Same Day,Customer 361,340.11,2,0.1,40.81
CA-100207,2024-02-04,Consumer,West,Office Supplies,Paper,First Class,Customer 207,1307.64,3,0.1,156.92
CA-100208,2024-06-07,Corporate,West,Technology,Copiers,Same Day,Customer 293,1684.1,5,0.0,252.61
CA-100209,2024-06-25,Home Office,South,Furniture,Chairs,Same Day,Customer 250,1975.55,2,0.3,118.53
CA-100210,2024-11-30,Corporate,South,Technology,Accessories,First Class,Customer 426,803.12,2,0.3,48.19
CA-100211,2024-08-24,Corporate,South,Office Supplies,Binders,First Class,Customer 225,1192.85,3,0.1,143.14
CA-100212,2024-10-24,Corporate,East,Office Supplies,Paper,First Class,Customer 293,1556.48,7,0.3,93.39
CA-100213,2024-11-11,Consumer,Central,Technology,Accessories,Same Day,Customer 231,156.88,6,0.0,23.53
CA-100214,2024-05-24,Home Office,West,Technology,Phones,Same Day,Customer 66,1331.99,6,0.2,119.88
CA-100215,2024-06-12,Consumer,Central,Office Supplies,Storage,First Class,Customer 395,1320.34,1,0.2,118.83
CA-100216,2024-09-13,Consumer,South,Furniture,Furnishings,First Class,Customer 460,165.52,9,0.1,19.86
CA-100217,2024-10-10,Consumer,Central,Technology,Phones,First Class,Customer 485,520.01,4,0.1,62.4
CA-100218,2024-06-04,Home Office,Central,Technology,Accessories,Same Day,Customer 251,1567.94,8,0.3,94.08
CA-100219,2024-10-19,Corporate,West,Technology,Phones,First Class,Customer 35,87.69,2,0.1,10.52
CA-100220,2024-06-09,Consumer,Central,Furniture,Tables,Same Day,Customer 490,376.42,5,0.2,33.88
CA-100221,2024-08-04,Corporate,West,Technology,Phones,First Class,Customer 223,970.2,2,0.2,87.32
CA-100222,2024-12-05,Home Office,South,Office Supplies,Paper,Standard Class,Customer 308,1053.03,6,0.2,94.77
CA-100223,2024-12-06,Consumer,Central,Furniture,Furnishings,Standard Class,Customer 352,419.67,8,0.2,37.77
CA-100224,2024-07-11,Home Office,Central,Furniture,Tables,First Class,Customer 458,1738.92,2,0.1,208.67
CA-100225,2024-10-29,Consumer,South,Furniture,Bookcases,Same Day,Customer 345,1004.41,8,0.0,150.66
CA-100226,2024-10-13,Corporate,West,Furniture,Furnishings,Standard Class,Customer 361,1838.98,3,0.0,275.85
CA-100227,2024-07-10,Corporate,Central,Furniture,Chairs,Standard Class,Customer 169,710.18,2,0.1,85.22
CA-100228,2024-03-17,Home Office,West,Technology,Machines,Same Day,Customer 98,1744.09,5,0.0,261.61
CA-100229,2024-01-19,Corporate,East,Technology,Accessories,Standard Class,Customer 489,1535.08,6,0.3,92.1
CA-100230,2024-12-09,Corporate,East,Office Supplies,Storage,Standard Class,Customer 213,882.45,1,0.2,79.42
CA-100231,2024-05-22,Consumer,Central,Office Supplies,Art,Standard Class,Customer 473,1267.81,7,0.1,152.14
CA-100232,2024-04-11,Corporate,Central,Technology,Machines,Same Day,Customer 110,490.34,3,0.0,73.55
CA-100233,2024-01-03,Consumer,East,Furniture,Furnishings,Same Day,Customer 450,1246.59,9,0.1,149.59
CA-100234,2024-01-12,Consumer,East,Furniture,Furnishings,Standard Class,Customer 463,1830.19,9,0.0,274.53
CA-100235,2024-10-28,Corporate,South,Office Supplies,Storage,First Class,Customer 493,800.84,6,0.2,72.08
CA-100236,2024-05-03,Home Office,West,Technology,Copiers,First Class,Customer 51,407.64,5,0.2,36.69
CA-100237,2024-10-01,Corporate,East,Office Supplies,Binders,Same Day,Customer 496,410.37,6,0.0,61.55
CA-100238,2024-05-15,Corporate,South,Technology,Accessories,Second Class,Customer 2,584.05,3,0.2,52.56
CA-100239,2024-12-15,Home Office,Central,Technology,Machines,Same Day,Customer 74,1953.92,9,0.1,234.47
CA-100240,2024-08-28,Corporate,West,Office Supplies,Paper,Same Day,Customer 36,1059.82,8,0.2,95.38
CA-100241,2024-06-21,Corporate,Central,Furniture,Bookcases,Standard Class,Customer 375,1615.87,8,0.0,242.38
CA-100242,2024-01-26,Consumer,Central,Furniture,Tables,Same Day,Customer 378,1641.99,9,0.1,197.04
CA-100243,2024-07-26,Consumer,East,Technology,Machines,Standard Class,Customer 68,1682.93,8,0.3,100.98
CA-100244,2024-07-20,Consumer,East,Furniture,Bookcases,Same Day,Customer 458,1469.28,7,0.3,88.16
CA-100245,2024-04-17,Corporate,West,Technology,Machines,Standard Class,Customer 465,859.41,1,0.0,128.91
CA-100246,2024-06-08,Home Office,East,Furniture,Chairs,Second Class,Customer 77,66.8,3,0.2,6.01
CA-100247,2024-11-15,Home Office,Central,Technology,Phones,Second Class,Customer 323,135.74,2,0.0,20.36
CA-100248,2024-08-28,Home Office,Central,Furniture,Furnishings,Same Day,Customer 302,867.84,9,0.2,78.11
